stage,chain,draw,diverging
base,0,860,False
base,0,861,False
base,0,862,False
base,0,863,False
base,0,864,False
base,0,865,False
base,0,866,False
base,0,867,False
base,0,868,False
base,0,869,False
base,0,870,False
base,0,871,False
base,0,872,False
base,0,873,False
base,0,874,False
base,0,875,False
base,0,876,False
base,0,877,False
base,0,878,False
base,0,879,False
base,0,880,False
base,0,881,False
base,0,882,False
base,0,883,False
base,0,884,False
base,0,885,False
base,0,886,False
base,0,887,False
base,0,888,False
base,0,889,False
base,0,890,False
base,0,891,False
base,0,892,False
base,0,893,False
base,0,894,False
base,0,895,False
base,0,896,False
base,0,897,False
base,0,898,False
base,0,899,False
base,0,900,False
base,0,901,False
base,0,902,False
base,0,903,False
base,0,904,False
base,0,905,False
base,0,906,False
base,0,907,False
base,0,908,False
base,0,909,False
base,0,910,False
base,0,911,False
base,0,912,False
base,0,913,False
base,0,914,False
base,0,915,False
base,0,916,False
base,0,917,False
base,0,918,False
base,0,919,False
base,0,920,False
base,0,921,False
base,0,922,False
base,0,923,False
base,0,924,False
base,0,925,False
base,0,926,False
base,0,927,False
base,0,928,False
base,0,929,False
base,0,930,False
base,0,931,False
base,0,932,False
base,0,933,False
base,0,934,False
base,0,935,False
base,0,936,False
base,0,937,False
base,0,938,False
base,0,939,False
base,0,940,False
base,0,941,False
base,0,942,False
base,0,943,False
base,0,944,False
base,0,945,False
base,0,946,False
base,0,947,False
base,0,948,False
base,0,949,False
base,0,950,False
base,0,951,False
base,0,952,False
base,0,953,False
base,0,954,False
base,0,955,False
base,0,956,False
base,0,957,False
base,0,958,False
base,0,959,False
base,0,960,False
base,0,961,False
base,0,962,False
base,0,963,False
base,0,964,False
base,0,965,False
base,0,966,False
base,0,967,False
base,0,968,False
base,0,969,False
base,0,970,False
base,0,971,False
base,0,972,False
base,0,973,False
base,0,974,False
base,0,975,False
base,0,976,False
base,0,977,False
base,0,978,False
base,0,979,False
base,0,980,False
base,0,981,False
base,0,982,False
base,0,983,False
base,0,984,False
base,0,985,False
base,0,986,False
base,0,987,False
base,0,988,False
base,0,989,False
base,0,990,False
base,0,991,False
base,0,992,False
base,0,993,False
base,0,994,False
base,0,995,False
base,0,996,False
base,0,997,False
base,0,998,False
base,0,999,False
base,0,1000,False
base,0,1001,False
base,0,1002,False
base,0,1003,False
base,0,1004,False
base,0,1005,False
base,0,1006,False
base,0,1007,False
base,0,1008,False
base,0,1009,False
base,0,1010,False
base,0,1011,False
base,0,1012,False
base,0,1013,False
base,0,1014,False
base,0,1015,False
base,0,1016,False
base,0,1017,False
base,0,1018,False
base,0,1019,False
base,0,1020,False
base,0,1021,False
base,0,1022,False
base,0,1023,False
base,0,1024,False
base,0,1025,False
base,0,1026,False
base,0,1027,False
base,0,1028,False
base,0,1029,False
base,0,1030,False
base,0,1031,False
base,0,1032,False
base,0,1033,False
base,0,1034,False
base,0,1035,False
base,0,1036,False
base,0,1037,False
base,0,1038,False
base,0,1039,False
base,0,1040,False
base,0,1041,False
base,0,1042,False
base,0,1043,False
base,0,1044,False
base,0,1045,False
base,0,1046,False
base,0,1047,False
base,0,1048,False
base,0,1049,False
base,0,1050,False
base,0,1051,False
base,0,1052,False
base,0,1053,False
base,0,1054,False
base,0,1055,False
base,0,1056,False
base,0,1057,False
base,0,1058,False
base,0,1059,False
base,0,1060,False
base,0,1061,False
base,0,1062,False
base,0,1063,False
base,0,1064,False
base,0,1065,False
base,0,1066,False
base,0,1067,False
base,0,1068,False
base,0,1069,False
base,0,1070,False
base,0,1071,False
base,0,1072,False
base,0,1073,False
base,0,1074,False
base,0,1075,False
base,0,1076,False
base,0,1077,False
base,0,1078,False
base,0,1079,False
base,0,1080,False
base,0,1081,False
base,0,1082,False
base,0,1083,False
base,0,1084,False
base,0,1085,False
base,0,1086,False
base,0,1087,False
base,0,1088,False
base,0,1089,False
base,0,1090,False
base,0,1091,False
base,0,1092,False
base,0,1093,False
base,0,1094,False
base,0,1095,False
base,0,1096,False
base,0,1097,False
base,0,1098,False
base,0,1099,False
base,0,1100,False
base,0,1101,False
base,0,1102,False
base,0,1103,False
base,0,1104,False
base,0,1105,False
base,0,1106,False
base,0,1107,False
base,0,1108,False
base,0,1109,False
base,0,1110,False
base,0,1111,False
base,0,1112,False
base,0,1113,False
base,0,1114,False
base,0,1115,False
base,0,1116,False
base,0,1117,False
base,0,1118,False
base,0,1119,False
base,0,1120,False
base,0,1121,False
base,0,1122,False
base,0,1123,False
base,0,1124,False
base,0,1125,False
base,0,1126,False
base,0,1127,False
base,0,1128,False
base,0,1129,False
base,0,1130,False
base,0,1131,False
base,0,1132,False
base,0,1133,False
base,0,1134,False
base,0,1135,False
base,0,1136,False
base,0,1137,False
base,0,1138,False
base,0,1139,False
base,0,1140,False
base,0,1141,False
base,0,1142,False
base,0,1143,False
base,0,1144,False
base,0,1145,False
base,0,1146,False
base,0,1147,False
base,0,1148,False
base,0,1149,False
base,0,1150,False
base,0,1151,False
base,0,1152,False
base,0,1153,False
base,0,1154,False
base,0,1155,False
base,0,1156,False
base,0,1157,False
base,0,1158,False
base,0,1159,False
base,0,1160,False
base,0,1161,False
base,0,1162,False
base,0,1163,False
base,0,1164,False
base,0,1165,False
base,0,1166,False
base,0,1167,False
base,0,1168,False
base,0,1169,False
base,0,1170,False
base,0,1171,False
base,0,1172,False
base,0,1173,False
base,0,1174,False
base,0,1175,False
base,0,1176,False
base,0,1177,False
base,0,1178,False
base,0,1179,False
base,0,1180,False
base,0,1181,False
base,0,1182,False
base,0,1183,False
base,0,1184,False
base,0,1185,False
base,0,1186,False
base,0,1187,False
base,0,1188,False
base,0,1189,False
base,0,1190,False
base,0,1191,False
base,0,1192,False
base,0,1193,False
base,0,1194,False
base,0,1195,False
base,0,1196,False
base,0,1197,False
base,0,1198,False
base,0,1199,False
base,0,1200,False
base,0,1201,False
base,0,1202,False
base,0,1203,False
base,0,1204,False
base,0,1205,False
base,0,1206,False
base,0,1207,False
base,0,1208,False
base,0,1209,False
base,0,1210,False
base,0,1211,False
base,0,1212,False
base,0,1213,False
base,0,1214,False
base,0,1215,False
base,0,1216,False
base,0,1217,False
base,0,1218,False
base,0,1219,False
base,0,1220,False
base,0,1221,False
base,0,1222,False
base,0,1223,False
base,0,1224,False
base,0,1225,False
base,0,1226,False
base,0,1227,False
base,0,1228,False
base,0,1229,False
base,0,1230,False
base,0,1231,False
base,0,1232,False
